id,target,reading,english,part_of_speech,topic,source_id,source_entry,level_basis
ko-nikl-26221,간밤,,The previous night.,noun,concepts > time,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26221,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26225,간부,,A person who holds a key position in an institution or organization.,noun,social life > job positions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26225,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26364,갈대,,"A thin and tall plant that grows in large fields, in wetland or waterside.",noun,plants and animals > plants,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26364,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26419,감,,"A feeling or thought about a certain thing. / The clarity of sound delivered through communication devices such as a telephone, etc.",noun,people > emotions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26419,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26433,감격,,"The state of feeling of being touched by something very deeply, or such an emotional state.",noun,people > emotions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26433,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26434,감격스럽다,,Feeling or being touched by something very deeply.,descriptive verb,people > emotions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26434,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26470,감량,,Reducing volume or weight.,noun,people > physical changes,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26470,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26477,감명,,"A state of being deeply touched, or such a feeling.",noun,people > emotions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26477,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26503,감상,,"Feeling sad or lonely, or a sad, lonely state of mind.",noun,people > emotions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26503,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26516,감성,,A status where the feelings or mind feel and respond to stimulus.,noun,people > emotions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26516,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26517,감성적,,The state related to sensitivity. / The state of being sensitive or rich in emotions.,noun,people > emotions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26517,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26528,감수,,An act of accepting something painful or difficult willingly.,noun,social life > social activities,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26528,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26530,감수성,,Quality or psychological ability to feel external stimuli.,noun,people > emotions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26530,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26558,감염,,"A bad habit, custom, values, environment, etc., affecting someone adversely to make him/her equally bad, impure, or immoral. / A germ's invading and spreading throughout the body of a plant or animal. / A virus's infiltrating the hard disk or file of a computer, causing it to malfunction.",noun,daily life > illness and symptoms,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26558,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26585,감정적,,The state of being based on a feeling or emotion.,noun,people > emotions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26585,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26604,감촉,,A sensation from an object touching the skin.,noun,people > senses,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26604,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26615,감탄,,The state of feeling positive about something.,noun,people > emotions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26615,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26641,감회,,Thoughts or feelings on the past.,noun,people > emotions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26641,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26648,갑갑하다,,"For something to be too tight, causing the feeling of being choked. / For a space to be extremely small, causing one to feel stuffy. / To speak or move slowly, causing someone to feel bored or impatient. / To feel clogged and uncomfortable in one's chest or stomach. / To feel anxious and frustrated because something does not work out as one expected.",descriptive verb,people > emotions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26648,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26667,값어치,,A value held by something that is worth acknowledging.,noun,economy > economic conditions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26667,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26669,값지다,,Something deserving to be expensive. / Having great value or meaning.,descriptive verb,economy > economic conditions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26669,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26717,강당,,A building or a big room used for lectures or performances.,noun,education > school facilities,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26717,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26823,강인하다,,Mentally strong and tenacious.,descriptive verb,people > physical condition,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26823,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26824,강자,,A person who has power or clout.,noun,people > types of people,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26824,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26837,강제적,,To make other people do what they don't want to do using authority or power.,noun,people > attitudes,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26837,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26845,강직하다,,"The personality trait of being straightforward, honest and impervious to corruption.",descriptive verb,people > personality,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26845,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26935,개강,,"The act of beginning the first lecture of a semester or term in a college, institute, etc.",noun,education > teaching and learning,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26935,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26939,개개인,,Each person.,noun,people > types of people,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26939,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-26972,개그,,The act of making people laugh using comic words or actions in plays or television programs.,noun,culture > popular culture,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=26972,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-27070,개설,,The act of making a new institution or facilities. / The act of making a new account with a financial institution.,noun,economy > economic activities,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=27070,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-27079,개수,,The number of objects counted one by one.,noun,concepts > numbers,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=27079,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-27094,개업,,The act of starting a business or opening a store. / A state of being in business. / The act of opening for the day's business.,noun,economy > economic activities,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=27094,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-27103,개운하다,,"One's mind or body feeling refreshed and light. / The taste of food feeling refreshing, not greasy.",descriptive verb,people > senses,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=27103,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-27268,객지,,The place one stays in away from home.,noun,concepts > regions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=27268,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-27324,거금,,A very large amount of money.,noun,economy > financial instruments,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=27324,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-27338,거닐다,,To walk about over a short distance in a leisurely manner.,verb,people > physical actions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=27338,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-27343,거동,,"An act of moving one's body, or such an attitude or behavior.",noun,people > physical actions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=27343,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-27374,거뜬하다,,Simple and easy to handle. / One's body or feeling being light and refreshed.,descriptive verb,people > abilities,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=27374,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-27406,거리낌,,Things that get in the way of doing something or acting. / A state of being troubled by something and reluctant to do it.,noun,people > attitudes,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=27406,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-27408,거만,,A superior attitude in which a person looks down on others.,noun,people > attitudes,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=27408,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-27426,거문고,,A Korean stringed instrument made of royal foxglove tree with six strings which are plucked or flicked to make music.,noun,culture > music,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=27426,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-27437,거부,,"The act of not accepting a demand, suggestion, etc.",noun,social life > social activities,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=27437,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-27438,거부감,,The feeling of not wanting to accept something.,noun,people > emotions,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=27438,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-27448,거북하다,,Feeling unnatural or uncomfortable in moving or carrying out bodily functions. / Feeling uncomfortable or strained.,descriptive verb,people > senses,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=27448,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-27465,거스르다,,"To act or go against the way things are progressing, instead of complying with them. / To move in an opposite direction. / To act against someone's words, orders, etc. / To make someone feel bad or offended.",verb,social life > social activities,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=27465,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-27477,거액,,An extremely large amount of money.,noun,economy > financial instruments,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=27477,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-27487,거인,,A person a lot taller and bigger than ordinary people. / A person who is the best or has achieved a lot in a certain field.,noun,people > types of people,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=27487,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
ko-nikl-27498,거주,,The state of staying and living in a certain place.,noun,daily life > life events,nikl-2024-mirror,https://huggingface.co/datasets/binjang/NIKL-korean-english-dictionary/resolve/3b4cfd2126debfd5440cade3ef6c2a3c20cf7cf9/2024_01.csv#record=27498,NIKL source band: advanced; project heuristic TOPIK 5: professional and social category; not an official per-grade list
