level	pattern	english	note	ja1	en1	ja2	en2
n5	Nでした／ではありませんでした	was a noun; was not a noun	Polite past copula; distinguish noun predicates from adjective and verb inflection.	昨日は雨でした。	It was rainy yesterday.	先週は休みではありませんでした。	Last week was not a holiday.
n5	動詞ます	polite nonpast verb	Can describe a habit or a future event; teach verb groups and dictionary-form lookup together.	毎朝走ります。	I run every morning.	明日帰ります。	I will return tomorrow.
n5	動詞ません	polite negative nonpast verb	Use for a negative habit or intention; the temporal context determines English tense.	私は肉を食べません。	I do not eat meat.	今日は出かけません。	I will not go out today.
n5	動詞ました／ませんでした	polite past verb; polite negative past verb	Teach past affirmative and negative as a contrastive pair.	昨日映画を見ました。	I watched a film yesterday.	今朝は走りませんでした。	I did not run this morning.
n5	動詞てください	please do something	A direct polite request; appropriateness depends on relationship and burden.	ここに名前を書いてください。	Please write your name here.	少し待ってください。	Please wait a little.
n5	動詞ています	be doing; an ongoing action	At this stage teach ongoing action; resulting states need separate instruction later.	今、夕飯を作っています。	I am making dinner now.	弟はテレビを見ています。	My younger brother is watching television.
n5	動詞てもいい	may do; it is acceptable to do	Requests permission when used as a question; not the same as ability.	ここに座ってもいいですか。	May I sit here?	この辞書を使ってもいいです。	You may use this dictionary.
n5	動詞てはいけない	must not do; prohibition	Stronger than a preference or suggestion; avoid overusing it with peers.	ここで写真を撮ってはいけません。	You must not take photographs here.	この水を飲んではいけません。	You must not drink this water.
n5	動詞ないでください	please do not do something	Requires the plain negative form; scaffold that form before using the request.	窓を開けないでください。	Please do not open the window.	ここで走らないでください。	Please do not run here.
n5	動詞たい	want to do something	Attach to the polite-verb stem; generally states the speaker's desire or asks the listener's.	日本に行きたいです。	I want to go to Japan.	今日は早く寝たいです。	I want to go to bed early today.
n5	Nが欲しい	want a thing	Use for the speaker's desire; avoid reporting another person's internal state without evidence.	新しい辞書が欲しいです。	I want a new dictionary.	何が欲しいですか。	What do you want?
n5	動詞ませんか	would you like to do; invitation	A negative question can make an invitation rather than asking about a negative fact.	一緒に昼ご飯を食べませんか。	Would you like to have lunch together?	週末、映画を見ませんか。	Would you like to watch a film this weekend?
n5	動詞ましょう	let's do; a polite proposal	Use for joint action; do not translate every instance as a command.	駅で会いましょう。	Let's meet at the station.	少し休みましょう。	Let's take a short break.
n5	文から	because; giving a reason	The reason precedes the result; a direct explanatory tone is common.	寒いですから、窓を閉めます。	I will close the window because it is cold.	明日は休みですから、出かけます。	I will go out because tomorrow is a day off.
n5	文が文	but; linking contrasting clauses	At beginner level teach contrast; later distinguish soft introductory uses.	この店は小さいですが、便利です。	This shop is small, but it is convenient.	行きたいですが、時間がありません。	I want to go, but I do not have time.
n5	動詞辞書形前に	before doing something	The verb before this expression stays nonpast even in an account of past events.	寝る前に本を読みます。	I read a book before going to bed.	食べる前に手を洗います。	I wash my hands before eating.
n5	動詞てから	after doing; first do and then	The first event must precede the second; teach a practical sequence.	宿題をしてから遊びます。	I play after doing my homework.	朝ご飯を食べてから出かけました。	I went out after eating breakfast.
n5	AはBより形容詞	A is more adjective than B	The comparison baseline follows the comparative particle; adjective forms do not become comparative.	このかばんはあのかばんより軽いです。	This bag is lighter than that bag.	今日は昨日より暖かいです。	Today is warmer than yesterday.
n5	Nの中で一番	the most within a stated group	Define the comparison set before asking for or asserting a superlative.	果物の中でりんごが一番好きです。	Of all fruits, I like apples best.	この町でどの店が一番安いですか。	Which shop is the cheapest in this town?
n5	動詞て、動詞	do something and then do something	Conjoins actions; teach te-form sound changes by verb group, including irregular verbs.	駅で切符を買って、電車に乗りました。	I bought a ticket at the station and boarded the train.	家に帰って、夕飯を作ります。	I will go home and make dinner.
n5	数＋助数詞	number plus counter	Teach common object, person and age counters with their sound changes, not one universal counter.	りんごを三つ買いました。	I bought three apples.	学生が二人います。	There are two students.
n5	動詞語幹に行く	go in order to do something	Attach to the polite-verb stem; motion is part of the meaning.	本を借りに図書館へ行きます。	I go to the library to borrow books.	友達に会いに行きました。	I went to meet a friend.
n5	Nが好き／上手	like a thing; be good at a thing	These are adjectival predicates, not transitive verbs; avoid praising one's own skill insensitively.	私は音楽が好きです。	I like music.	姉は料理が上手です。	My older sister is good at cooking.
n5	文ね／文よ	seeking agreement; presenting information	Sentence-final particles convey stance; tone matters, so do not treat them as interchangeable decoration.	今日は暑いですね。	It is hot today, isn't it?	次の駅ですよ。	It is the next station, you know.
n4	普通形	plain-style predicates	Teach dictionary, negative, past and negative-past verb forms; use appropriate relationships and embedding.	明日は家で勉強する。	I will study at home tomorrow.	昨日はどこにも行かなかった。	I did not go anywhere yesterday.
n4	動詞こと／の	nominalizing an action or event	Choice depends on the following predicate; do not assume complete interchangeability.	泳ぐことが好きです。	I like swimming.	子供が走っているのを見ました。	I saw a child running.
n4	動詞たことがある	have experienced doing something	Refers to life experience, not a single dated event; use the plain past form before the nominalizer.	富士山に登ったことがあります。	I have climbed Mount Fuji.	この料理を食べたことがありますか。	Have you ever eaten this dish?
n4	動詞たり動詞たりする	do things such as; representative actions	Lists examples of activities and need not indicate chronological order.	休みの日は読んだり散歩したりします。	On days off I do things such as read and take walks.	旅行中は泳いだり写真を撮ったりしました。	During the trip I did things such as swim and take photographs.
n4	動詞つもりだ	intend to do; intend not to do	Represents personal intention; distinguish it from an externally fixed schedule.	来年留学するつもりです。	I intend to study abroad next year.	今日は外で食べないつもりです。	I intend not to eat out today.
n4	動詞／Nの予定だ	be scheduled; have a plan	Use the dictionary verb or noun plus the possessive linker; plans can involve other people.	会議は三時に終わる予定です。	The meeting is scheduled to finish at three.	来週は出張の予定です。	I am scheduled to go on a business trip next week.
n4	動詞たがる	show signs of wanting to do	Reports observed desire, commonly of someone other than the speaker.	子供は外で遊びたがっています。	The child is showing that they want to play outside.	弟は新しいゲームを買いたがっています。	My younger brother wants to buy a new game.
n4	動詞語幹／形容詞語幹そうだ	look as if; seem about to	Appearance-based judgment; teach irregular adjective forms and distinguish hearsay attachment.	このケーキはおいしそうです。	This cake looks delicious.	雨が降りそうです。	It looks as if it will rain.
n4	普通形そうだ	I hear that; reportedly	Hearsay follows a complete plain predicate; identify the source when relevant.	天気予報によると、明日は晴れるそうです。	According to the weather forecast, it will be sunny tomorrow.	田中さんは来月引っ越すそうです。	I hear that Mr. Tanaka is moving next month.
n4	普通形ようだ／みたいだ	seem; look like; infer from evidence	The second form is conversational; noun attachment differs between the two.	誰もいないようです。	It seems that no one is here.	この雲は魚みたいです。	This cloud looks like a fish.
n4	動詞辞書形ことができる	be able to do something	Explicit ability or possibility; teach before contrasting inflected potential forms.	ここで切符を買うことができます。	You can buy tickets here.	妹は漢字を読むことができます。	My younger sister can read kanji.
n4	可能形	potential verb form; can do	Teach godan, ichidan and irregular formation; potential forms do not express permission by themselves.	私は百メートル泳げます。	I can swim one hundred metres.	この席から海が見られます。	You can see the sea from this seat.
n4	動詞たら	if; when an event has happened	Useful for specific conditions and completed-event sequencing; distinguish unreal and actual readings by context.	雨が降ったら、家にいます。	If it rains, I will stay home.	駅に着いたら、電話してください。	Please call when you arrive at the station.
n4	普通形と	if; whenever; automatic consequence	Use with predictable results; avoid freely attaching requests or intentions as results.	このボタンを押すと、ドアが開きます。	If you press this button, the door opens.	春になると、花が咲きます。	When spring comes, flowers bloom.
n4	動詞ば／形容詞ければ	if; conditional	Teach conditional conjugation and restrictions through contrasts with other conditional forms.	時間があれば、手伝います。	If I have time, I will help.	安ければ、買いたいです。	If it is cheap, I want to buy it.
n4	N／普通形なら	if that is the case; as for a proposed topic	Responds to a premise or topic supplied by context rather than just temporal succession.	京都に行くなら、秋がいいですよ。	If you are going to Kyoto, autumn is a good time.	静かな店なら、駅の前にあります。	If you want a quiet shop, there is one in front of the station.
n4	(V-te / i-adjective-kute / na-adjective-de / N-de) + も	even if; even though	Attach to the verb's te-form, the i-adjective's connective form, or the na-adjective/noun copular connective. The result remains true despite the condition; distinguish concession from permission.	雨が降っても、試合はあります。	Even if it rains, the game will take place.	忙しくても、朝ご飯を食べます。	Even when I am busy, I eat breakfast.
n4	動詞語幹ながら	while doing another action	The same person normally performs both actions; the final verb carries the main action.	音楽を聞きながら料理します。	I cook while listening to music.	歩きながら話しましょう。	Let's talk while walking.
n4	普通形ので	because; explanatory reason	Often presents the reason more softly or objectively; nouns and na-adjectives need their linking form.	電車が遅れたので、遅刻しました。	I was late because the train was delayed.	静かなので、この部屋で勉強します。	I study in this room because it is quiet.
n4	普通形のに	although; contrary to expectation	Often conveys disappointment or surprise; do not confuse with purpose uses of the same sequence.	たくさん寝たのに、まだ眠いです。	Although I slept a lot, I am still sleepy.	この店は高いのに、いつも混んでいます。	Although this shop is expensive, it is always crowded.
n4	普通形んです／のです	explanatory framing; the situation is that	Connects a statement to context or requests an explanation; not a generic politeness suffix.	どうして遅れたんですか。	Why were you late?	電車が止まったんです。	The train stopped, so that is why.
n4	動詞なければならない	must do; obligation	A double-negative obligation pattern; also teach less formal spoken reductions through listening.	明日までに払わなければなりません。	I must pay by tomorrow.	今日は早く帰らなければなりません。	I must go home early today.
n4	動詞なくてもいい	do not have to do	Expresses absence of necessity, not prohibition.	今日は来なくてもいいです。	You do not have to come today.	全部覚えなくてもいいですよ。	You do not have to memorize everything.
n4	動詞た／ないほうがいい	had better; should or should not	Advice rather than an absolute rule; negative advice uses the nonpast negative.	少し休んだほうがいいです。	You should rest a little.	夜遅く食べないほうがいいです。	You should not eat late at night.
n4	動詞てみる	try doing; do as an experiment	Describes trying an action to discover its result, not trying unsuccessfully to start it.	この靴を履いてみます。	I will try these shoes on.	日本語で日記を書いてみました。	I tried writing a diary in Japanese.
n4	動詞てしまう	finish completely; regrettably do	Context distinguishes completion from regret; introduce contractions for recognition later.	宿題を全部やってしまいました。	I finished all my homework.	財布を忘れてしまいました。	I unfortunately forgot my wallet.
n4	動詞ておく	do in advance; leave in a state	An action prepares for a later need or deliberately maintains a state.	旅行の前に切符を買っておきます。	I will buy the tickets before the trip.	窓は開けておいてください。	Please leave the window open.
n4	動詞てあげる	do a favour for someone	Marks outward benefit; avoid using it boastfully toward a senior or recipient.	妹に本を読んであげました。	I read a book to my younger sister for her.	友達の荷物を持ってあげました。	I carried my friend's luggage for them.
n4	動詞てくれる	someone does a favour for me or my group	Subject is the benefactor; the benefit moves toward the speaker's perspective.	友達が駅まで送ってくれました。	My friend kindly took me to the station.	兄が料理を作ってくれました。	My older brother cooked for me.
n4	動詞てもらう	receive someone's help in doing	The beneficiary is normally the topic or subject; the helper is marked as the agent.	先生に作文を見てもらいました。	I had my teacher look over my composition.	友達に写真を撮ってもらいました。	I had my friend take a photograph.
n4	動詞ようになる	come to do; become able to do	Describes a change in ability or habitual behaviour, not a one-off decision.	漢字が読めるようになりました。	I have become able to read kanji.	毎朝走るようになりました。	I have started running every morning.
n4	動詞ことにする	decide to do	Foregrounds a personal decision rather than an external arrangement.	毎日歩くことにしました。	I decided to walk every day.	今日は甘い物を食べないことにします。	I have decided not to eat sweet things today.
n4	動詞ことになる	it is decided; it turns out that	Describes an arrangement or outcome without foregrounding the speaker as decision-maker.	来月大阪で働くことになりました。	It has been decided that I will work in Osaka next month.	会議は来週行うことになりました。	The meeting has been arranged for next week.
n4	動詞ようにする	make an effort to; make a habit of	Focuses on deliberate practice, not a completed change of ability.	野菜を食べるようにしています。	I make a point of eating vegetables.	約束を忘れないようにしてください。	Please make sure not to forget the appointment.
n4	動詞辞書形ところだ	be just about to do	Locates an action at its starting boundary; teach alongside ongoing and just-finished versions.	今から出かけるところです。	I am just about to go out.	昼ご飯を食べるところです。	I am just about to eat lunch.
n4	動詞たばかりだ	have only just done	Recency is subjective and can cover more than a few moments.	この町に来たばかりです。	I have only just arrived in this town.	先月この仕事を始めたばかりです。	I only started this job last month.
n4	動詞語幹すぎる	do too much; be excessively	Attach to a verb stem or adjective stem; evaluate against a contextual standard.	昨日は食べすぎました。	I ate too much yesterday.	この靴は小さすぎます。	These shoes are too small.
n4	動詞語幹やすい／にくい	easy to do; hard to do	Describes ease or difficulty of the action, not the actor's ability alone.	このペンは書きやすいです。	This pen is easy to write with.	この地図は分かりにくいです。	This map is hard to understand.
n4	文かどうか	whether or not; embedded yes-no question	Embed a plain question without treating the final predicate as another question particle.	店が開いているかどうか知りません。	I do not know whether the shop is open.	行けるかどうか、明日連絡します。	I will let you know tomorrow whether I can go.
n4	普通形と思う	think that; express an opinion	Quote a plain predicate; distinguish speaker opinion from independently verified information.	明日は晴れると思います。	I think it will be sunny tomorrow.	この方法がいいと思います。	I think this method is good.
n4	普通形と言う	say that; quotation	Use plain form for indirect content; distinguish an exact quotation from a paraphrase.	先生は明日試験があると言いました。	The teacher said that there would be a test tomorrow.	弟は行かないと言っています。	My younger brother says he will not go.
n4	動詞ている	resulting state; continuing habit	Extend the progressive beyond ongoing actions; intransitive change verbs often describe a resulting state.	窓が開いています。	The window is open.	私は東京に住んでいます。	I live in Tokyo.
n4	動詞てある	a state resulting from deliberate action	Typically uses a transitive verb and implies that someone arranged the result.	机に資料が置いてあります。	The documents have been placed on the desk.	壁に地図が貼ってあります。	A map has been put up on the wall.
n4	受身形	passive voice; be affected by another's action	Teach direct passives first and introduce affected-person passives with context.	私は先生に褒められました。	I was praised by my teacher.	この本は多くの人に読まれています。	This book is read by many people.
n4	お／ご〜になる	respectful description of someone else's action	Raises the subject's action; use an eligible verb stem or verbal noun with its appropriate honorific prefix. Introduce special respectful verbs separately and do not use for oneself.	先生はもうお帰りになりました。	The teacher has already gone home.	部長は資料をお読みになりました。	The department manager read the documents.
n3	使役形	make or let someone do	Causative meaning depends on context; explicitly distinguish permission from coercion.	母は子供に野菜を食べさせました。	The mother made the child eat vegetables.	先生は学生に自由に話させました。	The teacher let the students speak freely.
n3	使役受身形	be made to do	Subject experiences imposed action; practise the full form before conversational contractions.	私は一時間待たされました。	I was made to wait for an hour.	弟は部屋を掃除させられました。	My younger brother was made to clean the room.
n3	お／ご〜する	humble description of one's own action	Lowers the speaker's action relative to its respected recipient; does not simply mean formal speech.	私が荷物をお持ちします。	I will carry your luggage.	会場をご案内します。	I will show you around the venue.
n3	動詞ていただけませんか	could you kindly do something	A deferential request for a favour; teach it with realistic recipient and burden choices.	もう一度説明していただけませんか。	Could you kindly explain it once more?	この書類を確認していただけませんか。	Could you please check this document?
n3	動詞させてください	please let me do something	A request for permission to act; distinguish the speaker as actor from causative commands to others.	少し考えさせてください。	Please let me think for a moment.	私にも手伝わせてください。	Please let me help too.
n3	普通形はずだ	be expected to; should logically	An evidence-based expectation, not moral advice or an absolute guarantee.	田中さんはもう駅に着いたはずです。	Mr. Tanaka should have arrived at the station by now.	今日は日曜日だから、店は休みのはずです。	Since today is Sunday, the shop should be closed.
n3	普通形わけではない	it does not follow that; not necessarily	Partially or generally denies an inference rather than always denying the entire proposition.	高い物がいつも良いわけではありません。	Expensive things are not always good.	日本語が全部分かるわけではありません。	It is not that I understand all Japanese.
n3	普通形わけがない	there is no way that	Strong subjective denial based on reasoning or conviction.	一日で全部覚えられるわけがありません。	There is no way I can memorize everything in one day.	彼が約束を忘れるわけがない。	There is no way he would forget his promise.
n3	動詞わけにはいかない	cannot do because of circumstances or duty	Not physical inability; an obligation or social constraint prevents the action.	明日は試験なので、休むわけにはいきません。	I cannot take the day off because I have an exam tomorrow.	大事な約束を破るわけにはいきません。	I cannot break an important promise.
n3	普通形べきだ	should; ought to as a principle	Normative judgment can sound strong; teach negative form and softened advice alternatives.	約束は守るべきです。	You should keep your promises.	人の話を最後まで聞くべきです。	You should listen to people until they finish.
n3	普通形かもしれない	may; might	Expresses possibility with less confidence than a prediction stated as certain.	夕方は雨になるかもしれません。	It might rain in the evening.	彼は道に迷ったかもしれません。	He may have lost his way.
n3	普通形に違いない	must be; surely based on inference	Strong inference, not direct evidence or legal obligation.	電気がついているから、誰かいるに違いない。	The lights are on, so someone must be there.	彼はこの知らせを喜ぶに違いありません。	He will surely be pleased by this news.
n3	普通形らしい	apparently; according to indirect evidence	Distinguish evidential use from the suffix describing typical qualities.	駅の近くに新しい店ができたらしいです。	Apparently a new shop has opened near the station.	彼は来週帰国するらしいです。	Apparently he will return to his country next week.
n3	Nらしい	typical of; characteristic of a noun	Expresses a quality fitting an expected type; it is not the evidential use.	今日は春らしい天気です。	Today's weather is typical of spring.	彼女らしい丁寧な答えでした。	It was a careful answer that was characteristic of her.
n3	動詞ために	in order to; for a purpose	Usually links a controllable action to its intended purpose; contrast purpose with cause.	留学するために貯金しています。	I am saving money in order to study abroad.	健康のために毎日歩いています。	I walk every day for my health.
n3	動詞ように	so that; in order that a state becomes possible	Common with potential and negative predicates; often avoids a directly volitional goal.	忘れないようにメモします。	I make a note so that I will not forget.	後ろの人にも聞こえるように話してください。	Please speak so that the people at the back can hear too.
n3	動詞ないうちに	before something happens	Take an opportunity before the stated change occurs; teach alongside affirmative while-still uses.	雨が降らないうちに帰りましょう。	Let's go home before it rains.	忘れないうちに書いておきます。	I will write it down before I forget.
n3	普通形間に	during; at some point while	The event occurs within the stated interval; contrast an activity maintained throughout the interval.	留守の間に荷物が届きました。	A parcel arrived while I was out.	日本にいる間に京都を訪れたいです。	I want to visit Kyoto while I am in Japan.
n3	普通形うちに	while a state lasts; before the opportunity passes	A temporary state provides a window for action or gradual change.	若いうちに色々な経験をしたいです。	I want to have many experiences while I am young.	温かいうちに食べてください。	Please eat it while it is warm.
n3	動詞たとたんに	the instant; just as	A sudden event follows immediately; usually reports an actual unexpected occurrence.	窓を開けたとたんに、風が入ってきました。	The instant I opened the window, wind came in.	家を出たとたんに、雨が降り始めました。	Just as I left the house, it began to rain.
n3	動詞たびに	every time; whenever	Describes a recurring pairing of events; attach nouns with a possessive linker.	この歌を聞くたびに、故郷を思い出します。	Every time I hear this song, I remember my hometown.	旅行のたびに写真をたくさん撮ります。	I take many photographs every time I travel.
n3	動詞ついでに	while doing something else; taking the opportunity	The secondary action is convenient alongside a primary task.	買い物に行くついでに、手紙を出します。	I will post the letter while I am out shopping.	散歩のついでに、パンを買いました。	I bought bread while I was out for a walk.
n3	動詞たまま	leave or remain in a state	An earlier action establishes a state that continues during another event.	電気をつけたまま寝てしまいました。	I fell asleep with the light left on.	靴を履いたまま入らないでください。	Please do not come in with your shoes still on.
n3	動詞ずに	without doing	A written or slightly formal alternative to a negative connective; the irregular verb meaning do uses a special form.	朝ご飯を食べずに出かけました。	I went out without eating breakfast.	辞書を使わずに読みました。	I read it without using a dictionary.
n3	動詞ないで	without doing; do instead of	Contrast absence of an accompanying action with causal negative constructions.	傘を持たないで出かけました。	I went out without taking an umbrella.	今日は外へ行かないで、家で休みます。	Today I will rest at home instead of going out.
n3	(N / plain clause) + ほど〜ない	not as much as; not as adjective as	Use a noun as the comparison baseline or a plain clause expressing an expected degree, followed by a negative predicate. Keep the baseline and compared item clear.	今日は昨日ほど寒くありません。	Today is not as cold as yesterday.	この仕事は思ったほど難しくありません。	This job is not as difficult as I expected.
n3	普通形ほど	to the extent that; so much that	An event or quality illustrates the degree of the main description.	声が出ないほど驚きました。	I was so surprised that I could not speak.	歩けないほど疲れました。	I was so tired that I could not walk.
n3	動詞ば動詞ほど	the more one does, the more	Requires a repeated predicate or matched adjective forms; teach gradual correlation.	読めば読むほど面白くなります。	The more I read, the more interesting it becomes.	練習すればするほど上手になります。	The more you practise, the better you become.
n3	普通形だけでなく	not only; but also	Coordinate comparable constituents and make the additive relationship explicit.	彼は英語だけでなく、中国語も話せます。	He can speak not only English but also Chinese.	この店は安いだけでなく、サービスもいいです。	This shop is not only inexpensive; its service is good too.
n3	Nに比べて	compared with	Frames a comparison; not necessarily a claim of statistical significance.	去年に比べて、今年は暖かいです。	This year is warm compared with last year.	電車に比べて、バスは時間がかかります。	The bus takes longer compared with the train.
n3	Nについて	about; concerning a topic	Marks the topic of speaking, thinking or writing rather than a target of an action.	日本の歴史について調べています。	I am researching Japanese history.	将来について話し合いました。	We discussed the future.
n3	Nに対して	toward; with regard to a target	Marks an addressee or target of an attitude or action; contrast topical about.	先生に対して失礼なことを言ってはいけません。	You must not say rude things to the teacher.	この計画に対して意見があります。	I have an opinion regarding this plan.
n3	Nによって	depending on; variation according to	Distinguish this variation sense from agency, cause and means.	国によって習慣が違います。	Customs differ depending on the country.	季節によって値段が変わります。	Prices change depending on the season.
n3	Nによって	by an agent; by means of	Formal agency or means; the English translation depends on the predicate.	この橋は地元の会社によって建てられました。	This bridge was built by a local company.	話し合いによって問題を解決しました。	We solved the problem through discussion.
n3	Nとして	as; in the role of	Identifies a function, capacity or standpoint rather than similarity.	彼は医者として働いています。	He works as a doctor.	この部屋を会議室として使います。	We use this room as a meeting room.
n3	普通形おかげで	thanks to; a beneficial cause	Usually introduces a favourable result; ironic uses require a clear context.	先生のおかげで、試験に合格しました。	Thanks to my teacher, I passed the exam.	早く予約したおかげで、安く泊まれました。	Thanks to booking early, we were able to stay cheaply.
n3	普通形せいで	because of; an unfavourable cause	Assigns blame or a negative cause; use carefully when discussing people.	雨のせいで、試合が中止になりました。	The game was cancelled because of the rain.	寝不足のせいで、集中できません。	I cannot concentrate because of insufficient sleep.
n3	普通形かわりに	instead of; in exchange for	The context distinguishes substitution from a compensating trade-off.	車で行くかわりに、電車で行きます。	I will go by train instead of going by car.	手伝うかわりに、日本語を教えてください。	Please teach me Japanese in exchange for my help.
n3	Nさえ	even; an extreme example	Highlights a surprising minimum or extreme; do not confuse with limitation.	忙しくて、昼ご飯を食べる時間さえありません。	I am so busy that I do not even have time to eat lunch.	子供でさえ、この問題が解けます。	Even a child can solve this problem.
n3	Nしか〜ない	nothing but; only with a negative predicate	The restriction requires a negative predicate and often suggests insufficiency.	財布には千円しかありません。	I have only one thousand yen in my wallet.	この店は日曜日しか開いていません。	This shop is open only on Sundays.
n3	普通形ばかりでなく	not only; additionally	Often somewhat more formal than the common additive construction; avoid listing unlike constituents.	彼女は研究ばかりでなく、教育にも力を入れています。	She puts effort not only into research but also into teaching.	この町は静かなばかりでなく、交通も便利です。	This town is not only quiet; transport is convenient too.
n3	普通形ということだ	that means; the reported fact is	Nominalizes or restates a proposition; explicitly distinguish inference from hearsay in the task.	つまり、今日は休みということですね。	So that means today is a day off, right?	連絡によると、会議は延期ということです。	According to the message, the meeting has been postponed.
n3	普通形ことはない	there is no need to do	Reassures against an unnecessary action; not a claim about life experience.	そんなに心配することはありません。	There is no need to worry so much.	急ぐことはありません。	There is no need to hurry.
n3	動詞ていく	change continuing from now; movement away	Teach temporal development separately from literal movement away from the speaker.	これからも日本語を勉強していきます。	I will continue studying Japanese from now on.	鳥が遠くへ飛んでいきました。	The bird flew off into the distance.
n3	動詞てくる	change up to now; movement toward	Marks change reaching the present or movement toward the viewpoint; context determines the sense.	少しずつ暖かくなってきました。	It has gradually become warmer.	犬がこちらへ走ってきました。	A dog came running toward us.
n2	動詞次第	as soon as; upon completion	Attach to the verb stem for an intended next action; contrast past narrative immediacy.	準備ができ次第、出発します。	We will leave as soon as preparations are complete.	結果が分かり次第、ご連絡します。	I will contact you as soon as I know the result.
n2	N次第で	depending on; determined by	The outcome hinges on the stated variable; distinct from the immediate-sequence construction.	天気次第で、予定を変えます。	We will change the plan depending on the weather.	努力次第で、結果は変わります。	The result will change depending on the effort.
n2	動詞上で	after doing as a prerequisite; upon	For temporal use attach the past form; distinguish the context-of-activity sense with nonpast verbs.	内容を確認した上で、署名してください。	Please sign after checking the contents.	家族と相談した上で、決めました。	I decided after consulting my family.
n2	動詞上は	now that; since one has committed	A chosen course of action entails responsibility or determination.	引き受けた上は、最後までやります。	Now that I have accepted it, I will see it through.	参加する上は、規則を守ってください。	If you are going to participate, please follow the rules.
n2	普通形以上は	now that; since it is the case	States a premise followed by an obligation, determination or necessary consequence.	約束した以上は、守るべきです。	Now that you have promised, you should keep it.	試験を受ける以上は、十分に準備したいです。	Since I am taking the exam, I want to prepare thoroughly.
n2	普通形からには	since; now that one has undertaken	Emphasizes commitment and a consequent resolve or expectation.	やるからには、全力を尽くします。	Since I am doing it, I will give it my all.	選んだからには、責任を持ちます。	Now that I have chosen it, I will take responsibility.
n2	普通形限り	as long as; while a condition holds	The result holds within a stated condition or scope; avoid absolute claims beyond that scope.	時間がある限り、手伝います。	I will help as long as I have time.	私が知っている限り、その店は休みです。	As far as I know, that shop is closed.
