level	pattern	english	note	example1	translation1	example2	translation2
1	안 V/A	not V; not A	Short negation; for many action nouns with the do-verb, place the negative immediately before the do-verb.	오늘은 안 가요.	I am not going today.	이 가방은 안 비싸요.	This bag is not expensive.
1	못 V	cannot V; fail to V	Indicates inability or circumstances preventing an action, not simple unwillingness.	오늘은 못 만나요.	I cannot meet today.	저는 수영을 못 해요.	I cannot swim.
1	V-(으)세요	please V; polite directive	Also has honorific statement uses; context and intonation distinguish requests from descriptions.	여기에 앉으세요.	Please sit here.	천천히 읽으세요.	Please read slowly.
1	V-아/어 주세요	please do V for me/us	Requests a helpful action; do not confuse the auxiliary with giving a physical object.	문을 열어 주세요.	Please open the door.	다시 말해 주세요.	Please say it again.
1	V-지 마세요	please do not V	Attach the prohibition to the verb stem; this is not the ordinary negative statement form.	여기에서 사진을 찍지 마세요.	Please do not take photographs here.	너무 빨리 말하지 마세요.	Please do not speak too quickly.
1	V/A-고	and; then; linking predicates	Connects clauses without necessarily asserting a cause; tense is commonly expressed at the final predicate.	저는 책을 읽고 친구는 음악을 들어요.	I read a book, and my friend listens to music.	방이 크고 깨끗해요.	The room is big and clean.
1	V/A-지만	but; although	Signals contrast between two clauses; it can attach after a tense marker.	비싸지만 좋아요.	It is expensive, but it is good.	어제는 바빴지만 오늘은 괜찮아요.	I was busy yesterday, but today is fine.
1	V/A-아/어서	because; so	At this stage teach ordinary explanations; avoid following the causal use with a command or suggestion.	피곤해서 일찍 자요.	I go to bed early because I am tired.	비가 와서 집에 있어요.	I am at home because it is raining.
1	V-(으)러 가다 / 오다	go / come in order to V	The first predicate states the purpose of a motion verb; it is not a general-purpose replacement for all purpose clauses.	책을 사러 가요.	I am going to buy a book.	친구가 밥을 먹으러 왔어요.	A friend came to eat.
1	V-(으)ㄹ까요?	shall we V?; shall I V?	A tentative proposal or offer; predictive question uses are introduced later.	같이 점심을 먹을까요?	Shall we have lunch together?	제가 문을 닫을까요?	Shall I close the door?
1	V-ㅂ시다 / -읍시다	let's V; formal proposal	Do not assume this ending is deferential enough for every request to a superior; a question may be more appropriate.	같이 공부합시다.	Let's study together.	여기에서 조금 쉽시다.	Let's rest here for a little while.
1	V-(으)ㄹ 수 있다 / 없다	can / cannot V	Expresses ability or possibility; the bound noun is written separately.	한국어를 읽을 수 있어요.	I can read Korean.	오늘은 갈 수 없어요.	I cannot go today.
1	V-고 있다	be V-ing; ongoing activity	Teach ongoing action first; resultant-state uses depend on the verb and are introduced later.	지금 책을 읽고 있어요.	I am reading a book now.	친구를 기다리고 있어요.	I am waiting for a friend.
1	A-(으)ㄴ N	N that is A; descriptive noun modifier	Descriptive predicates directly modify nouns; the existential adjective family has a different modifier form.	작은 가방을 샀어요.	I bought a small bag.	좋은 친구가 있어요.	I have a good friend.
1	수량 + 단위 명사	number plus counter	Use native or Sino-Korean numbers according to the counter; native one through four contract before counters.	사과 두 개를 주세요.	Please give me two apples.	학생 세 명이 왔어요.	Three students came.
1	V/A-(으)시-	subject honorific marker	Honors the subject, not the listener; some common predicates use a special honorific word instead.	선생님이 책을 읽으세요.	The teacher is reading a book.	할머니가 오셨어요.	Grandmother came.
2	V-아/어도 되다	may V; be allowed to V	Use a question to request permission; descriptive predicates are possible but not the central classroom use.	여기에 앉아도 돼요?	May I sit here?	오늘은 일찍 가도 돼요.	You may leave early today.
2	V-(으)면 안 되다	must not V; V is not allowed	A conditional plus negative permission construction; it usually expresses a rule or warning.	여기에 주차하면 안 돼요.	You must not park here.	시험 중에 이야기하면 안 돼요.	You must not talk during the test.
2	V-아/어야 하다 / 되다	must; have to V	Expresses necessity; the second auxiliary is frequent in conversation.	내일까지 숙제를 해야 해요.	I have to do the homework by tomorrow.	병원에 가야 돼요.	I need to go to the hospital.
2	V-아/어 보다	try V; experience doing V	In a request it invites a trial; past tense often describes experience.	이 옷을 입어 보세요.	Try on these clothes.	김치를 만들어 봤어요.	I have tried making kimchi.
2	V-(으)ㄴ 후에	after V	Use a completed-action modifier before the bound temporal noun.	밥을 먹은 후에 약을 드세요.	Take the medicine after eating.	수업이 끝난 후에 만나요.	Let's meet after class finishes.
2	V-기 전에	before V	The first verb is nominalized without a past marker even when the overall sentence describes the past.	자기 전에 이를 닦아요.	I brush my teeth before sleeping.	한국에 오기 전에 한국어를 배웠어요.	I learned Korean before coming to Korea.
2	V-(으)면서	while V; simultaneous actions	The ordinary simultaneous-action use normally has the same subject in both clauses.	음악을 들으면서 요리해요.	I cook while listening to music.	걸으면서 이야기했어요.	We talked while walking.
2	V/A-(으)면	if; when	A neutral condition; some contexts describe recurring events rather than hypothetical situations.	시간이 있으면 전화해 주세요.	If you have time, please call me.	봄이 오면 꽃이 피어요.	When spring comes, flowers bloom.
2	V/A-았/었으면 좋겠다	I wish; it would be good if	Uses a past-shaped form for a wish that need not refer to past time.	내일 날씨가 좋았으면 좋겠어요.	I hope the weather is nice tomorrow.	한국어를 더 잘했으면 좋겠어요.	I wish I spoke Korean better.
2	V-(으)려고 하다	intend / plan to V	Expresses intention or a developing situation; introduce first-person plans first.	방학에 여행하려고 해요.	I plan to travel during the vacation.	오늘은 일찍 자려고 해요.	I intend to go to bed early today.
2	V/A-(으)니까	because; since	Unlike the basic causal ending, it can readily support a command or suggestion.	추우니까 창문을 닫으세요.	Since it is cold, please close the window.	시간이 있으니까 걸어갈까요?	Since we have time, shall we walk there?
2	N 때문에 / V/A-기 때문에	because of N; because V/A	A relatively explicit causal expression; do not imply that every occurrence has a negative result.	비 때문에 길이 막혀요.	The roads are congested because of the rain.	내일 시험이 있기 때문에 공부해야 해요.	I have to study because there is a test tomorrow.
2	V-는 N	N that does / is doing V	The present action modifier differs from the descriptive-verb modifier.	저기 가는 사람이 제 친구예요.	The person going over there is my friend.	제가 읽는 책은 재미있어요.	The book I am reading is interesting.
2	V-(으)ㄴ N	N that did / has done V	This action-verb modifier marks completed action; context determines whether English uses past or present perfect.	어제 만난 친구에게 전화했어요.	I called the friend I met yesterday.	제가 만든 음식을 먹어 보세요.	Try the food I made.
2	V-(으)ㄹ N	N that will be / is to be V	Marks prospective, intended, or possible action rather than only chronological future.	내일 입을 옷을 골랐어요.	I chose the clothes I will wear tomorrow.	읽을 책이 많아요.	I have many books to read.
2	V-는 것	the act / fact of V-ing	Nominalizes a clause; distinguish grammatical nominalization from a concrete thing described by a relative clause.	저는 걷는 것을 좋아해요.	I like walking.	한국어로 말하는 것이 재미있어요.	Speaking in Korean is fun.
2	V-기	V-ing; nominalized action	Often appears in activity labels and fixed evaluative constructions.	이 의자는 앉기 편해요.	This chair is comfortable to sit on.	일찍 일어나기가 어려워요.	Getting up early is difficult.
2	N보다 더	more than N; comparative	Places the comparison standard before the particle; the degree word may be omitted.	오늘은 어제보다 더 추워요.	Today is colder than yesterday.	기차가 버스보다 빨라요.	The train is faster than the bus.
2	N 중에서 가장/제일	the most among N	Use a comparison set and a superlative degree word; do not mechanically duplicate English articles.	과일 중에서 사과를 가장 좋아해요.	Among fruits, I like apples the most.	우리 반에서 민수가 제일 커요.	Minsu is the tallest in our class.
2	N(으)로	by means of; toward; made of N	Use the vowel form after a vowel or the liquid final consonant; the sense depends on context.	버스로 학교에 가요.	I go to school by bus.	종이로 상자를 만들었어요.	I made a box out of paper.
2	N에게/한테; N께	to N; recipient; honorific recipient	The first two are ordinary recipient forms; the honorific form respects the recipient, not necessarily the subject.	친구에게 편지를 보냈어요.	I sent a letter to a friend.	선생님께 질문을 드렸어요.	I asked the teacher a question.
2	V-아/어 주다 / 드리다	do V for someone; humble benefactive	Use the humble auxiliary when the beneficiary is someone being honored; it does not honor the actor.	친구가 숙제를 도와줬어요.	A friend helped me with my homework.	할머니께 문을 열어 드렸어요.	I opened the door for Grandmother.
2	N밖에 + 부정	nothing but N; only N with negation	Requires a negative predicate; scope differs from simply attaching the ordinary only-particle.	돈이 천 원밖에 없어요.	I have only one thousand won.	어제 세 시간밖에 못 잤어요.	I slept only three hours yesterday.
2	N마다	every N; each N	Distributes an event or property over members of a set or intervals.	주말마다 운동해요.	I exercise every weekend.	나라마다 음식이 달라요.	Food differs from country to country.
2	N(이)나 / V-거나	N or N; V or V	Choose noun or predicate coordination; the noun particle also has quantity and fallback senses taught later.	차나 커피를 마셔요.	I drink tea or coffee.	주말에는 책을 읽거나 영화를 봐요.	On weekends I read books or watch movies.
2	V/A-지요? / -죠?	isn't it?; shared-knowledge check	Can confirm shared knowledge or soften a statement; do not use as a universal English question-tag replacement.	오늘 춥지요?	It is cold today, isn't it?	내일도 오지요?	You are coming tomorrow too, right?
2	V/A-네요	oh; I notice that V/A	Expresses a newly noticed impression; distinguish surprise from a request for agreement.	이 꽃이 예쁘네요.	Oh, this flower is pretty.	한국어를 잘하시네요.	You speak Korean well, I see.
2	V/A-겠어요	intention; guess; willingness	The modal depends on context; fixed polite expressions should be learned as complete social acts.	제가 먼저 하겠어요.	I will do it first.	많이 피곤하시겠어요.	You must be very tired.
2	V-기로 하다	decide / agree to V	Describes a decision or arrangement rather than merely a desire.	친구와 같이 공부하기로 했어요.	I agreed to study with a friend.	이번 달부터 운동하기로 했어요.	I decided to start exercising this month.
2	A-아/어지다	become A; change of state	With descriptive stems, presents a change rather than a static property; passive uses require separate attention.	날씨가 따뜻해졌어요.	The weather has become warm.	한국어가 조금 쉬워졌어요.	Korean has become a little easier.
2	V-게 되다	come to V; end up V-ing	Highlights a change in circumstances rather than a straightforward intentional act.	다음 달부터 서울에서 일하게 됐어요.	I have come to work in Seoul starting next month.	친구 덕분에 이 노래를 알게 됐어요.	Thanks to a friend, I came to know this song.
2	V-고 나서	after finishing V	Emphasizes completion before the next activity.	숙제를 하고 나서 쉬었어요.	I rested after finishing my homework.	손을 씻고 나서 밥을 먹어요.	I eat after washing my hands.
2	V/A-는/은/ㄴ데	background; contrast; opening a turn	Action verbs take the present action form, descriptive verbs the descriptive form; existential predicates are a special family.	지금 공부하는데 조금 조용히 해 주세요.	I am studying now, so please be a little quiet.	이 가방은 예쁜데 너무 비싸요.	This bag is pretty, but it is too expensive.
2	V/A-(으)ㄴ/는 것 같다	it seems; I think	Select the modifier for predicate type and time; use it to mark an inference, not as empty filler.	밖에 비가 오는 것 같아요.	It seems to be raining outside.	이 신발은 조금 작은 것 같아요.	I think these shoes are a little small.
2	V-지 못하다	cannot; fail to V	Long-form inability combines with verb stems and can carry tense at the final auxiliary.	너무 바빠서 쉬지 못했어요.	I could not rest because I was too busy.	글씨가 작아서 읽지 못해요.	I cannot read it because the print is small.
2	V/A-지 않다	not V; not A	Long-form negation is useful in careful speech and writing; apply tense to the final auxiliary.	저는 고기를 먹지 않아요.	I do not eat meat.	이 문제는 어렵지 않아요.	This problem is not difficult.
3	V-ㄴ/는다고 하다	report that V; indirect declarative quotation	Action-verb present quotation uses its declarative modifier; descriptive verbs and nouns use different quoted endings.	친구가 내일 온다고 했어요.	My friend said that they are coming tomorrow.	동생은 매일 운동한다고 해요.	My younger sibling says they exercise every day.
3	A-다고 하다 / N(이)라고 하다	report that something is A / N	Keep predicate-type distinctions rather than applying the action-verb quotation form to every predicate.	이 식당이 맛있다고 들었어요.	I heard that this restaurant serves good food.	그분은 의사라고 해요.	They say that person is a doctor.
3	V/A-냐고 하다	report a question	Quotation reports the content of a question, not its original politeness ending; longer question forms also occur.	친구가 어디에 가냐고 물었어요.	My friend asked where I was going.	선생님이 문제가 어렵냐고 물으셨어요.	The teacher asked whether the problem was difficult.
3	V-(으)라고 하다	tell someone to V; reported directive	Use the command quotation form, and identify who gave the instruction and who must act.	의사가 푹 쉬라고 했어요.	The doctor told me to rest well.	선생님이 내일까지 읽으라고 하셨어요.	The teacher told us to read it by tomorrow.
3	V-자고 하다	suggest that we V; reported proposal	Reports an invitation or joint-action suggestion; it is not a direct command.	친구가 같이 영화를 보자고 했어요.	My friend suggested watching a movie together.	동료가 점심을 일찍 먹자고 했어요.	A colleague suggested having lunch early.
3	V-아/어야겠다	I should / will have to V	Usually conveys the speaker's newly formed judgment or resolve.	몸이 아파서 쉬어야겠어요.	I feel ill, so I should rest.	시간이 없으니 택시를 타야겠어요.	There is no time, so I will have to take a taxi.
3	V-(으)ㄴ 적이 있다 / 없다	have / have never V-ed	Describes experience on at least one occasion rather than the duration of an ongoing activity.	한국에서 살아 본 적이 있어요.	I have lived in Korea before.	그 사람을 만난 적이 없어요.	I have never met that person.
3	V-아/어 버리다	do completely; end up doing irreversibly	Completion often carries relief, regret, or surprise; the emotional evaluation comes from context.	중요한 파일을 지워 버렸어요.	I ended up deleting the important file.	밀린 숙제를 다 해 버렸어요.	I finished all the homework that had piled up.
3	V-아/어 놓다	do and leave in the resulting state	Often used for preparation; some verbs use a more natural lexical expression instead.	내일 입을 옷을 꺼내 놓았어요.	I took out the clothes for tomorrow and left them ready.	환기를 하려고 창문을 열어 놓았어요.	I left the window open to air the room.
3	V-아/어 두다	do in advance and keep the result	Overlaps with leaving a result in place but especially highlights preparation or preserving a useful state.	주소를 메모해 두었어요.	I wrote down the address for later.	여행 전에 표를 예약해 두세요.	Reserve the tickets before the trip.
3	V-는 동안	while; during the time V	Can describe simultaneous events with different subjects; nouns combine directly with the duration noun.	제가 요리하는 동안 동생은 청소했어요.	While I cooked, my younger sibling cleaned.	버스를 기다리는 동안 책을 읽었어요.	I read a book while waiting for the bus.
3	V-다가	while V-ing, then; interrupted change	Typically switches from an ongoing action to another event; the first action is not necessarily completed.	공부하다가 잠이 들었어요.	I fell asleep while studying.	집에 가다가 친구를 만났어요.	I met a friend while going home.
3	V-았/었다가	did V and then reversed / changed course	Marks completion before a contrasting or reversing subsequent action.	창문을 열었다가 추워서 닫았어요.	I opened the window, then closed it because it was cold.	가게에 갔다가 집으로 돌아왔어요.	I went to the store and then returned home.
3	V-자마자	as soon as V	Shows immediate succession; ordinarily the first clause does not take a separate past marker.	집에 오자마자 샤워했어요.	I showered as soon as I got home.	수업이 끝나자마자 도서관에 갈 거예요.	I will go to the library as soon as class ends.
3	V/A-아/어도	even if; although	A concessive relation where the second clause holds despite the first.	비가 와도 갈 거예요.	I will go even if it rains.	조금 비싸도 이 제품을 사고 싶어요.	I want to buy this product even if it is a little expensive.
3	V/A-(으)ㄹ 때	when; at the time of	Can describe repeated, current, or future situations; completed-time contexts may require a past marker.	시간이 있을 때 책을 읽어요.	I read when I have time.	어렸을 때 시골에 살았어요.	I lived in the countryside when I was young.
3	V-(으)ㄴ 지	duration since V	Refers to elapsed time since an event; write the bound noun separately.	한국에 온 지 일 년이 됐어요.	It has been a year since I came to Korea.	점심을 먹은 지 두 시간 됐어요.	It has been two hours since I ate lunch.
3	V-느라고	because of doing V; negative consequence	Usually action verbs with the same subject, and an unwanted result; avoid commands in the result clause.	숙제를 하느라고 잠을 못 잤어요.	I could not sleep because I was doing homework.	전화를 받느라고 설명을 못 들었어요.	I missed the explanation because I was answering the phone.
3	V/A-(으)ㄴ/는 덕분에	thanks to V/A; beneficial cause	Normally introduces a favorable result; ironic negative use requires clear context.	친구가 도와준 덕분에 일을 끝냈어요.	Thanks to my friend's help, I finished the work.	교통이 편리한 덕분에 출퇴근이 쉬워요.	Commuting is easy thanks to convenient transportation.
3	V/A-(으)ㄴ/는 탓에	because of; owing to an unfavorable cause	Typically assigns an undesirable consequence to a cause; use carefully when blaming people.	늦게 출발한 탓에 기차를 놓쳤어요.	I missed the train because I left late.	길이 미끄러운 탓에 차가 천천히 가요.	Cars are moving slowly because the road is slippery.
3	V/A-나 보다 / -(으)ㄴ가 보다	it appears; apparently	Inference from evidence; descriptive predicates commonly use the latter form.	밖에서 우산을 쓰네요. 비가 오나 봐요.	People outside are using umbrellas. It must be raining.	표가 다 팔린 걸 보니 인기가 많은가 봐요.	Seeing that the tickets sold out, it must be popular.
3	V/A-(으)ㄹ지도 모르다	might; may possibly	Marks uncertainty; avoid presenting the proposition as confirmed information.	내일 비가 올지도 몰라요.	It might rain tomorrow.	그 소문은 사실이 아닐지도 몰라요.	That rumor might not be true.
3	V-(으)ㄹ 뻔하다	almost V; nearly V-ed	Usually past form for an event that nearly happened but did not.	계단에서 넘어질 뻔했어요.	I almost fell on the stairs.	늦잠을 자서 비행기를 놓칠 뻔했어요.	I almost missed the flight because I overslept.
3	V-(으)ㄹ 줄 알다 / 모르다	know / not know how to V	Skill and method use differs from the belief or expectation sense of this same construction.	자전거를 탈 줄 알아요.	I know how to ride a bicycle.	이 기계를 사용할 줄 몰라요.	I do not know how to use this machine.
3	V-게 하다	make / let someone V	A periphrastic causative; permission versus compulsion depends on context and the participants.	선생님이 학생들에게 글을 읽게 했어요.	The teacher had the students read the text.	아이들이 밖에서 놀게 했어요.	I let the children play outside.
3	V-이/히/리/기-	be V-ed; lexical passive	Passive suffix choice is lexical and must be learned with the verb; not every verb permits a suffix passive.	문이 열렸어요.	The door opened.	멀리서 음악이 들려요.	Music can be heard from far away.
3	V-아/어 있다	be in a resulting state	Typically combines with suitable intransitive or passive predicates; contrast ongoing-action progressives.	문이 열려 있어요.	The door is open.	학생들이 의자에 앉아 있어요.	The students are seated on chairs.
3	A-게	in an A way; adverbial manner	Converts a descriptive predicate into an adverbial; fixed lexical adverbs may be more idiomatic for some stems.	글씨를 크게 써 주세요.	Please write the letters large.	방을 깨끗하게 청소했어요.	I cleaned the room thoroughly.
3	V/A-(으)ㄴ/는 편이다	tend to; be relatively A	Offers a measured characterization rather than an absolute claim.	저는 일찍 자는 편이에요.	I tend to go to bed early.	이 동네는 조용한 편이에요.	This neighborhood is relatively quiet.
3	V-(으)려고	in order to; intending to	Provides a purpose clause with a volitional action; the agent normally controls the intended action.	운동하려고 공원에 갔어요.	I went to the park to exercise.	한국어를 배우려고 이 수업을 신청했어요.	I enrolled in this class to learn Korean.
3	V-(으)ㄹ 테니까	I will / I expect, so	Combines intention or confident expectation with a reason for the following request or judgment.	제가 요리할 테니까 설거지를 해 주세요.	I will cook, so please wash the dishes.	길이 막힐 테니까 일찍 출발합시다.	The roads will probably be congested, so let's leave early.
3	V/A-(으)ㄹ 텐데	probably; would be; background expectation	Can supply a concerned expectation or background; it need not always be translated as a direct contrast.	많이 피곤할 텐데 좀 쉬세요.	You must be tired, so get some rest.	지금쯤 집에 도착했을 텐데 연락이 없어요.	They should have arrived home by now, but there has been no message.
3	N에 대해 / N에 대한	about N; concerning N	Use the adverbial form before a predicate and the modifier form before a noun.	한국 문화에 대해 발표했어요.	I gave a presentation about Korean culture.	환경에 대한 책을 읽고 있어요.	I am reading a book about the environment.
3	N에 따라	depending on N; according to N	Can mark variation by a condition or compliance with a rule; distinguish the two uses from context.	날씨에 따라 계획을 바꿀 거예요.	We will change the plan depending on the weather.	설명서에 따라 기계를 설치했어요.	I installed the machine according to the instructions.
3	N뿐만 아니라	not only N but also	The noun construction is introduced first; clauses use a modifier plus the bound noun.	이곳은 학생뿐만 아니라 직장인도 많이 와요.	Not only students but also many office workers come here.	그 사람은 영어뿐만 아니라 한국어도 잘해요.	That person is good at Korean as well as English.
3	V/A-잖아요	you know; as we both know	Invokes shared or supposedly shared knowledge; it can sound reproachful and should not be overused with strangers.	오늘은 일요일이잖아요.	Today is Sunday, as you know.	아까 제가 말씀드렸잖아요.	I told you earlier, remember.
4	V/A-더라고요	I noticed / experienced that	Reports a personal observation or discovery; restrictions on reporting one's own deliberate action require attention.	직접 가 보니 사람이 많더라고요.	When I went there myself, I found there were many people.	새로 나온 책이 생각보다 어렵더라고요.	I found the new book harder than expected.
4	V/A-던 N	N that used to / was V/A	Retrospective modifier often suggests ongoing, repeated, or uncompleted past experience; contrast the completed-past modifier.	예전에 자주 가던 카페가 문을 닫았어요.	The cafe I used to visit often has closed.	제가 읽던 책을 어디에 두었어요?	Where did you put the book I was reading?
4	V/A-았/었던 N	N that had been / had V-ed	Usually looks back on a completed or bounded past situation; context can overlap with the simpler retrospective form.	작년에 살았던 집을 다시 찾았어요.	I revisited the house where I lived last year.	한때 조용했던 동네가 많이 변했어요.	The neighborhood that was once quiet has changed a lot.
4	V/A-더니	I observed X, and then Y; contrasting observation	Normally links a remembered observation to a subsequent result or contrast; do not freely narrate one's own intentional action with it.	아침에는 춥더니 오후에는 따뜻해졌어요.	It was cold in the morning, but it became warm in the afternoon.	동생이 열심히 공부하더니 시험에 합격했어요.	My younger sibling studied hard and then passed the exam.
4	V-았/었더니	when I did V, I found / got	Usually relates the speaker's completed action to a discovered result or response.	약을 먹었더니 좀 나아졌어요.	After I took the medicine, I felt a little better.	문을 열었더니 고양이가 들어왔어요.	When I opened the door, a cat came in.
4	V-다 보니	as I kept V-ing, I came to	An ongoing or repeated activity leads to a realization or outcome that was not the initial focus.	매일 읽다 보니 속도가 빨라졌어요.	As I read every day, my reading speed increased.	친구와 이야기하다 보니 시간이 많이 지났어요.	As I talked with a friend, a lot of time passed.
4	V-다 보면	if one keeps V-ing, eventually	Presents an expected result of continued action, unlike a retrospective result already reached.	꾸준히 연습하다 보면 익숙해질 거예요.	If you keep practicing, you will get used to it.	여러 사람을 만나다 보면 생각이 달라질 수 있어요.	Meeting many people over time can change your views.
4	V/A-(으)ㄹ수록	the more V/A, the more	The degree or continuation of the first condition covaries with the second.	알면 알수록 재미있어요.	The more I learn, the more interesting it is.	날씨가 추울수록 손님이 줄어요.	The colder the weather, the fewer customers there are.
4	V/A-(으)ㄴ/는 반면에	whereas; on the other hand	Contrasts two properties or situations, often within an analytical comparison.	이 집은 넓은 반면에 교통이 불편해요.	This home is spacious, whereas transportation is inconvenient.	형은 운동을 좋아하는 반면에 저는 독서를 좋아해요.	My older brother likes sports, whereas I like reading.
4	V/A-(으)ㄴ/는 대신에	instead of; in return for	Can express substitution or compensation; the intended relation must be made clear.	택시를 타는 대신에 걸어갔어요.	I walked instead of taking a taxi.	방이 작은 대신에 월세가 싸요.	The room is small, but the rent is low in compensation.
4	V/A-(으)ㄴ/는 데다가	on top of; in addition to	Adds a further factor pointing in the same evaluative direction.	이 식당은 맛있는 데다가 가격도 싸요.	This restaurant's food is tasty, and the prices are low as well.	길이 막히는 데다가 비까지 와요.	The roads are congested, and it is raining on top of that.
4	V/A-기는 하지만	it is true that, but	Concedes the first proposition before qualifying it; the nominalizer attaches before tense on the final predicate.	편리하기는 하지만 비용이 많이 들어요.	It is convenient, but it costs a lot.	가기는 했지만 오래 머물지는 않았어요.	I did go, but I did not stay long.
4	V/A-더라도	even if; even granting that	Often introduces a stronger hypothetical concession than a simple concessive connective.	실패하더라도 다시 도전하겠어요.	Even if I fail, I will try again.	아무리 바쁘더라도 약속은 지켜야 해요.	However busy you are, you should keep your promises.
4	V/A-(으)ㄹ 뿐이다	merely; do nothing but	Limits the assertion without the necessarily negative predicate required by the negative-only particle.	저는 사실을 말했을 뿐이에요.	I merely stated the facts.	그저 조금 피곤할 뿐이에요.	I am just a little tired.
4	V-(으)ㄹ 뿐만 아니라	not only V but also	Extends additive comparison to clauses; tense and modifier choice depend on the intended time.	그는 노래를 잘할 뿐만 아니라 춤도 잘 춰요.	He not only sings well but also dances well.	이 제도는 비용을 줄일 뿐만 아니라 시간도 절약해요.	This system not only reduces costs but also saves time.
4	V-(으)ㄴ 채로	while remaining in the state of V	Marks a maintained state during another action, not two independent ongoing actions.	불을 켠 채로 잠이 들었어요.	I fell asleep with the light on.	신발을 신은 채로 들어오지 마세요.	Please do not come in with your shoes on.
4	V-는 바람에	because of an unexpected event; unfortunate result	Typically describes an unplanned event causing an undesirable outcome.	버스가 늦게 오는 바람에 지각했어요.	I was late because the bus unexpectedly arrived late.	컴퓨터가 고장 나는 바람에 일을 못 끝냈어요.	I could not finish the work because the computer broke down.
4	V/A-(으)ㄴ/는 만큼	to the extent that; in proportion to; given that	The degree comparison and causal interpretation depend on context.	연습한 만큼 실력이 늘어요.	Your skill improves in proportion to how much you practice.	중요한 일인 만큼 신중하게 결정해야 해요.	Since this is an important matter, we must decide carefully.
