# Original AI-authored teaching material, not an official grammar list. Human review required.
# level|pattern|english|note|example target 1|example English 1|example target 2|example English 2
2|最 + adjective|the most adjective|Establish the comparison set in context.|这三个苹果，哪个最大？|Which of these three apples is the biggest?|我最喜欢这个颜色。|I like this color best.
2|有点儿 + adjective|somewhat adjective, often undesirably|This often signals a mild complaint; distinguish it from a quantity after a verb.|今天有点儿冷。|It is a little cold today.|这件衣服有点儿贵。|This item of clothing is a little expensive.
2|adjective + 一点儿|a little more adjective|Often used in requests and comparisons; the degree phrase follows the adjective.|请说慢一点儿。|Please speak a little more slowly.|我想买大一点儿的。|I want to buy a slightly bigger one.
2|verb + 得 + degree description|doing something in a particular manner or degree|With an object, repeat or topicalize the verb as needed; do not confuse with ability.|他说得很快。|He speaks very quickly.|她唱歌唱得很好。|She sings very well.
2|verb + 完|finish doing something|A result complement follows the action; negated completion differs from not starting.|我看完这本书了。|I have finished reading this book.|你写完了吗？|Have you finished writing?
2|verb + 到|successfully attain the result of an action|The complement marks attainment, not merely making an attempt.|我买到票了。|I managed to buy a ticket.|你听到那个声音了吗？|Did you hear that sound?
2|verb + 来 / 去|motion toward / away from the reference point|Choose the deictic center; direction depends on the speaker or narrative perspective.|请进来。|Please come in.|他走出去了。|He walked out away from here.
2|离 + place + distance description|distance from a reference place|Use for spatial distance, not departure from somewhere.|我家离学校很近。|My home is very close to the school.|这里离车站有多远？|How far is it from here to the station?
2|从…到…|from one endpoint to another|Use spatial or temporal endpoints consistently.|从我家到学校要十分钟。|It takes ten minutes from my home to the school.|我从九点工作到五点。|I work from nine to five.
2|给 + person + verb|do something for or to a person|The recipient phrase precedes the action; some verbs permit a postverbal recipient.|我给妈妈打电话。|I call my mother.|她给我买了一本书。|She bought me a book.
2|可以 / 能 + verb|may do something / can do something under the circumstances|Contrast permission with situational ability; context can allow overlap.|这里可以坐吗？|May I sit here?|我今天不能来。|I cannot come today.
3|把 + definite object + verb + result|do something that affects a known object|The object must be identifiable; a bare unbounded verb is usually insufficient.|请把门关上。|Please close the door.|我把作业写完了。|I finished the homework.
3|被 + agent + verb + result|be affected by an action performed by an agent|The agent may be omitted; provide an actual event or result rather than a bare verb.|我的杯子被他打破了。|My cup was broken by him.|自行车被偷走了。|The bicycle was stolen.
3|verb + 着|a continuing state or accompanying posture|Distinguish maintained state from an activity currently in progress.|门开着。|The door is open.|她拿着一本书。|She is holding a book.
3|verb + 得 / 不 + result complement|be able / unable to achieve a result|This is potential complement structure, distinct from describing performance quality.|我听得懂。|I can understand what I hear.|这个字太小，我看不清楚。|This character is too small; I cannot see it clearly.
3|verb + 起来|an action begins or moves upward|Teach literal rising before extended onset meanings.|他站起来了。|He stood up.|孩子们笑起来了。|The children started laughing.
3|verb + 下去|continue an action onward|A continuation complement can also express literal downward movement in other contexts.|请继续说下去。|Please keep talking.|这本书很有意思，我想读下去。|This book is interesting; I want to keep reading.
3|越来越 + adjective|becoming more and more adjective|Describe a developing trend without a separate comparison target.|天气越来越热了。|The weather is getting hotter and hotter.|他的汉语越来越好了。|His Chinese is getting better and better.
3|越…越…|the more one condition changes, the more another does|The two clauses covary; keep cause and comparison direction clear.|越练习，就越熟悉。|The more you practice, the more familiar it becomes.|这本书越看越有意思。|This book becomes more interesting the more I read it.
3|又…又…|both one quality and another|Coordinate compatible qualities rather than alternative choices.|这个房间又大又亮。|This room is both large and bright.|她又会唱歌，又会跳舞。|She can both sing and dance.
3|除了…以外，还…|besides something, additionally something else|Inclusive addition differs from an exception followed by an all-others statement.|除了汉语以外，我还学英语。|Besides Chinese, I also study English.|除了书以外，他还买了笔。|Besides books, he also bought pens.
3|只有…才…|only if a necessary condition holds can a result occur|A necessary condition is not automatically sufficient.|只有多练习，才能说得流利。|Only with plenty of practice can you speak fluently.|只有会员才能进入。|Only members can enter.
3|只要…就…|as long as a sufficient condition holds, a result follows|Contrast sufficient conditions with necessary conditions.|只要有时间，我就去看你。|As long as I have time, I will visit you.|只要按时出发，就不会迟到。|As long as we leave on time, we will not be late.
3|一…就…|as soon as one event occurs, another follows|Use for immediate sequences or habitual triggers.|我一到家就给你打电话。|I will call you as soon as I get home.|他一听到音乐就笑了。|He smiled as soon as he heard the music.
3|是…的 for circumstances|highlighting when, where or how a known event occurred|The occurrence is already established; focus on a circumstance rather than narrating a new event.|我是坐火车来的。|I came by train.|这本书是昨天买的。|This book was bought yesterday.
3|连…都 / 也…|even an unexpected case has this property|Choose a genuinely surprising extreme in the implied scale.|他连星期天都工作。|He even works on Sundays.|这么简单的题，连孩子也会做。|Even a child can solve such a simple problem.
3|一点儿 / 一个…也不 / 没…|not at all / not even one|The negative quantifier construction emphasizes zero quantity.|我一点儿也不累。|I am not tired at all.|今天一个客人也没来。|Not a single guest came today.
3|还是 / 或者|or in a choice question / or in a statement|Select the connector according to clause function, not English spelling alone.|你喝茶还是喝水？|Will you have tea or water?|周末我看书或者听音乐。|On weekends I read or listen to music.
3|应该 + verb|should do something|Express advice or expectation; do not equate it with guaranteed fact.|你应该早点休息。|You should rest earlier.|现在他应该到家了。|He should be home by now.
3|得 + verb|have to do something|This is the stressed obligation reading meaning 'have to', not the neutral-tone particle that links a verb to a complement.|我得走了。|I have to leave now.|明天得早点起床。|We have to get up early tomorrow.
3|让 + person + verb|let or have someone do something|The causative can express permission or a requested action; infer force from context.|老师让我们读课文。|The teacher asked us to read the text.|请让我试一试。|Please let me try.
3|对 + person or matter + attitude|an attitude toward someone or something|Place the target before an attitude or evaluation predicate.|我对音乐很感兴趣。|I am very interested in music.|他对朋友很好。|He treats his friends very well.
3|跟…一样 / 不一样|the same as / different from something|Name the comparison target and optionally specify the shared property.|我的书跟你的一样。|My book is the same as yours.|这里的天气跟我家乡不一样。|The weather here is different from that in my hometown.
3|verb + 了 + duration + object|spending a length of time doing something|Duration follows the verb; distinguish elapsed activity from a clock time.|我学了三年汉语。|I studied Chinese for three years.|他等了半个小时。|He waited for half an hour.
3|verb + 了 / 过 + (object) + number + 次|having done something a certain number of times|The aspect marker can indicate a completed event or experience; an object may intervene before the action count or be topicalized. The counter counts occurrences, not objects.|我去过那家店三次。|I have been to that shop three times.|这句话他读了两次。|He read this sentence twice.
3|question word + 都…|every possible member, place or option|A question word can have universal rather than interrogative force with the right context.|这里的书我都喜欢，哪本都想看。|I like all the books here; I want to read every one.|谁都可以参加。|Anyone can participate.
4|不但…而且…|not only one thing, but also another|Use to strengthen an argument; subject placement depends on whether subjects are shared.|她不但会说汉语，而且会写汉字。|She can not only speak Chinese but also write Chinese characters.|这条路不但近，而且安全。|This route is not only short but also safe.
4|即使…也…|even if a condition holds, the result remains|The condition may be hypothetical; distinguish factual concession.|即使下雨，我们也会出发。|Even if it rains, we will set out.|即使很忙，他也每天读书。|Even when he is busy, he reads every day.
4|不管…都…|regardless of a condition, the result remains|Follow with an open alternative or question-word expression rather than one asserted fact.|不管谁来，都要登记。|Whoever comes must register.|不管天气怎么样，我们都去。|Whatever the weather is like, we will go.
4|既然…就…|since an accepted fact holds, a conclusion follows|Treat the first clause as shared or established information.|既然你有时间，就一起去吧。|Since you have time, come along.|既然已经决定了，就别再等了。|Since it has been decided, do not wait any longer.
4|无论…还是…都…|whether one alternative or another, the same result|Make the alternatives parallel in structure.|无论坐车还是走路，都能到。|Whether you take a vehicle or walk, you can get there.|无论白天还是晚上，这里都很安静。|It is quiet here both by day and at night.
4|不是…而是…|not one interpretation, but another|Correct a mistaken identification or explanation; this is not an either-or choice.|我不是生气，而是担心。|I am not angry; I am worried.|问题不是时间，而是费用。|The problem is not time but cost.
4|既…又…|both one quality or action and another|Coordinate compatible properties in balanced discourse.|这个办法既简单又有效。|This method is both simple and effective.|他既懂技术，又了解市场。|He understands both technology and the market.
4|一方面…另一方面…|on the one hand, on the other hand|Organize two considerations, which may complement or conflict.|一方面我想参加，另一方面我怕没时间。|On the one hand I want to participate; on the other I worry I will not have time.|这个计划一方面节省时间，另一方面减少费用。|This plan saves time on the one hand and reduces costs on the other.
4|把 + object + verb + 在 / 到 + place|place or move a known object somewhere|Specify the resulting location; not all verbs allow the same location complement.|请把行李放在门口。|Please put the luggage by the door.|他把车开到学校了。|He drove the car to the school.
4|被 + verb + 成 + result|be transformed into a resulting state|Use the transformation complement with an appropriate event.|这篇文章被改成了一个故事。|This article was turned into a story.|那座旧楼被改成了图书馆。|That old building was converted into a library.
4|把…当作…|regard or treat one thing as another|This is a treatment or categorization construction, not physical disposal.|我把他当作朋友。|I regard him as a friend.|别把玩笑当作事实。|Do not take a joke as fact.
4|verb + 出来 for recognition|discern or work out a result|The complement may be abstract rather than literal outward motion.|我听出来是你的声音了。|I recognized that it was your voice.|你看出问题来了吗？|Have you spotted the problem?
4|verb + 下来 for retention|record or retain a result for later|Distinguish resulting preservation from continuing an action onward.|请把地址写下来。|Please write down the address.|我把这个好消息记下来了。|I noted down this good news.
4|verb + 得了 / 不了|can / cannot manage an action|The final character takes its completion reading in this potential construction, not its neutral-tone aspect reading.|这么多饭，我吃不了。|I cannot eat this much food.|这点儿工作，我做得了。|I can manage this amount of work.
4|差点儿 + verb|almost did something|The event normally failed to occur; negated variants require special pragmatic care.|我差点儿迟到。|I was almost late.|他差点儿忘了带票。|He almost forgot to bring the ticket.
4|来得及 / 来不及 + verb|have / lack enough time to do something|Judge feasibility before a deadline, not general speed.|现在出发还来得及。|There is still enough time if we leave now.|我来不及吃早饭了。|I do not have time to eat breakfast now.
4|才 + event or quantity|not until; only as little as|A low quantity and a late event share an expectation contrast; teach the readings separately.|他十点才起床。|He did not get up until ten.|这本书才十块钱。|This book costs only ten yuan.
4|就 + event or quantity|as early as; as few as|Context supplies the expected baseline; do not translate mechanically as then.|她六点就到了。|She arrived as early as six.|我就买一本。|I will buy just one copy.
4|再 + verb / 又 + verb|do again later / something happened again|This is a useful beginner contrast, though context and modal verbs can extend it.|请再说一遍。|Please say it once more.|他昨天又迟到了。|He was late again yesterday.
4|好像 / 似乎 + proposition|it seems as though something is true|Hedge an impression rather than assert confirmed knowledge.|他好像不太高兴。|He seems not very happy.|这个办法似乎更合适。|This method seems more suitable.
4|以为 + proposition|believe or have assumed something|Often introduces a belief later shown wrong; the verb itself need not always imply error.|我以为你已经走了。|I thought you had already left.|他以为今天不开会，其实要开。|He thought there was no meeting today, but there is one.
4|关于 + topic|about or concerning a topic|Introduce a discourse subject; distinguish the target of an attitude.|关于这个问题，我们明天再谈。|We will discuss this issue tomorrow.|我读了一本关于历史的书。|I read a book about history.
4|通过 + means + result|achieve something through a method or channel|Use an actual means rather than any accompanying circumstance.|通过练习，我的发音进步了。|Through practice, my pronunciation improved.|我们通过邮件联系。|We communicate by email.
4|由于…因此…|because of a cause, consequently a result|This is relatively written or formal causal organization.|由于天气不好，因此航班取消了。|The flight was canceled because of bad weather.|由于道路施工，因此我们换了路线。|We changed routes because of roadwork.
4|尽管…还是…|despite a fact, something still occurs|Concede an actual circumstance; distinguish hypothetical even-if conditions.|尽管很累，他还是完成了工作。|Although he was tired, he still finished the work.|尽管价格高，我还是买了。|Although the price was high, I bought it anyway.
5|除非…否则…|unless a condition holds, otherwise a result follows|State the exceptional condition that prevents the default consequence.|除非你同意，否则我不会发出去。|Unless you agree, I will not send it out.|除非提前预约，否则进不去。|You cannot enter unless you make an appointment in advance.
5|与其…不如…|rather than one option, another is preferable|Compare choices under the same subject or decision maker.|与其抱怨，不如想办法。|Rather than complain, it is better to look for a solution.|与其坐车，不如走路。|It is better to walk than to take a vehicle.
5|宁可…也不…|would rather accept one option than another|Express a deliberate preference even at a cost.|我宁可多花时间，也不愿降低质量。|I would rather spend more time than lower the quality.|他宁可自己做，也不麻烦别人。|He would rather do it himself than trouble others.
5|不仅不…反而…|not only not an expected result, but the opposite|The second clause reverses an expectation, not merely adds information.|价格不仅没降，反而涨了。|Prices did not fall; on the contrary, they rose.|他不仅不生气，反而笑了。|He was not angry; instead, he smiled.
5|越是…越…|the more strongly one condition holds, the more another does|Emphasize the first factor in a covarying relationship.|越是困难，越要冷静。|The more difficult things are, the more calmly we must act.|越是熟悉的事，越容易大意。|The more familiar something is, the easier it is to be careless.
5|随着…|as something develops or changes|The following clause develops alongside the first process.|随着年龄增长，他更有耐心了。|As he grew older, he became more patient.|随着技术发展，成本降低了。|As technology developed, costs fell.
5|趁…|take advantage of a temporary opportunity|The circumstance should be favorable and limited in time.|趁天还没黑，我们赶快走吧。|Let us leave quickly while it is still light.|趁大家都在，我说两句。|While everyone is here, I will say a few words.
5|自从…以来…|ever since a starting event|Use with a continuing state or repeated developments since that point.|自从搬家以来，我每天走路上班。|Since moving, I have walked to work every day.|自从认识他以来，我学到了很多。|I have learned a lot since getting to know him.
5|直到…才…|not until a boundary or event|The focus is delayed realization or occurrence at the endpoint.|直到晚上，我才收到消息。|I did not receive the news until evening.|直到看见他，我才放心。|I did not feel reassured until I saw him.
5|一旦…就…|once a condition arises, a consequence follows|Often used for consequential or cautionary conditions.|一旦确认，就不能更改。|Once it is confirmed, it cannot be changed.|一旦发现问题，就及时报告。|Report promptly once a problem is discovered.
5|凡是…都…|all cases satisfying a condition|Define a category before stating a general rule.|凡是参加的人，都能得到资料。|Everyone who participates can receive the materials.|凡是借走的书，都要登记。|All books that are borrowed must be recorded.
5|所 + verb + 的 + noun|the things that someone does or has done|Written relative-clause packaging; avoid using it as a universal translation of English relative pronouns.|这是我所了解的情况。|This is the situation as I understand it.|他所提出的问题很重要。|The questions he raised are important.
5|由 + agent + 来 + verb|an assigned action is to be performed by an agent|Use for responsibility or arrangement; not every passive event permits it.|这件事由我来处理。|I will take care of this matter.|结果由老师来宣布。|The teacher will announce the results.
5|以 + noun + 为 + role or basis|take something as a role, basis or priority|This formal structure must use a semantically appropriate complement.|我们以安全为重点。|We take safety as our priority.|他以教学为主要工作。|Teaching is his main work.
5|对…而言|from someone's perspective|Limit an evaluation to an explicitly stated perspective.|对初学者而言，这本书太难。|For beginners, this book is too difficult.|对我而言，时间比金钱重要。|For me, time is more important than money.
5|在…方面|in a particular respect or area|Name the evaluation domain instead of making an unlimited claim.|她在管理方面很有经验。|She is very experienced in management.|我们在发音方面还需要练习。|We still need practice in pronunciation.
5|为了…而…|act in order to achieve a purpose|An intended purpose is not necessarily an achieved result.|他为了学习而搬到这里。|He moved here in order to study.|我们为了减少浪费而改变流程。|We changed the process to reduce waste.
5|以免…|so as to avoid an undesirable result|State a preventive purpose; do not claim the bad event actually happened.|请提前出发，以免迟到。|Please leave early to avoid being late.|把文件保存好，以免丢失。|Save the file properly so that it is not lost.
5|即便…也未必…|even if a condition holds, the result is not assured|Separate concession from uncertainty; it does not assert inevitable failure.|即便马上出发，也未必赶得上。|Even if we leave now, we may not make it in time.|即便价格低，也未必有人买。|Even if the price is low, people may not buy it.
5|难道…吗|could it really be that...?|A rhetorical challenge usually favors the opposite answer; inappropriate in neutral information requests.|难道你不想试试吗？|Do you not want to try?|难道这还不够清楚吗？|Is this not clear enough already?
5|何必…|why bother doing something unnecessary?|A rhetorical suggestion questions necessity, not factual cause.|何必为这件小事生气？|Why get angry over such a small matter?|既然能走路，何必打车？|Since we can walk, why bother taking a taxi?
5|不得不…|have no choice but to do something|A double negative expresses compelled action, often reluctantly.|由于下雨，我们不得不取消活动。|Because of the rain, we had no choice but to cancel the event.|我不得不重新开始。|I have no choice but to start again.
5|并不 / 并没有…|contrary to an assumption, not so|This negation refutes an expectation; it is not an all-purpose intensifier.|这件事并不简单。|This matter is not simple, contrary to what you might think.|他并没有答应。|He did not actually agree.
5|甚至…|even an extreme additional case|Introduce a stronger point on an explicit or implied scale.|他忙得甚至忘了吃饭。|He was so busy that he even forgot to eat.|他知道每个人的名字，甚至记得他们的生日。|He knows everyone's name and even remembers their birthdays.
5|总的来说…|generally speaking; overall|Signal a synthesis that still allows local exceptions.|总的来说，这次活动很成功。|Overall, this event was successful.|总的来说，新的安排更合理。|On the whole, the new arrangements are more reasonable.
6|尚且…何况…|if even one case holds, how much more another|Use an a-fortiori inference with an ordered comparison, not arbitrary contrast.|专家尚且会出错，何况初学者呢？|Even experts make mistakes, let alone beginners.|大人尚且觉得难，何况孩子呢？|Even adults find it difficult, let alone children.
6|与其说…不如说…|it is more accurate to say one thing than another|Reclassify an interpretation rather than simply choose an action.|与其说他生气，不如说他失望。|It is more accurate to say he is disappointed than angry.|与其说这是失败，不如说是一次试验。|This is better described as an experiment than a failure.
6|非…不可|must do something; absolutely necessary|This emphatic double-negative construction can sound insistent.|这个问题非解决不可。|This problem absolutely must be solved.|你为什么非今天走不可？|Why must you leave today?
6|不…则…|if not one course, then another follows|A compact formal conditional; retain the logical dependency.|不提前准备，则容易出错。|Without advance preparation, mistakes are likely.|不及时处理，则会影响进度。|If it is not handled promptly, progress will be affected.
6|倘若…便…|if hypothetically, then|A relatively literary conditional; do not inflate certainty in translation.|倘若条件允许，我们便扩大试点。|If conditions permit, we will expand the pilot.|倘若他不同意，计划便难以实施。|If he does not agree, the plan will be difficult to implement.
6|尽可能 / 尽量 + verb|as much as possible; to the extent practical|These express effort within constraints, not guaranteed maximal success.|请尽可能提供具体信息。|Please provide information that is as specific as possible.|我们尽量减少对环境的影响。|We try to minimize the impact on the environment.
6|不免 / 难免…|cannot help but; it is hard to avoid|Distinguish an understandable reaction from an objectively difficult-to-avoid event.|第一次演讲，他不免紧张。|He could not help feeling nervous giving his first speech.|刚开始难免出错。|Mistakes are hard to avoid at the beginning.
6|未必… / 不见得…|not necessarily; it may not be so|Deny certainty rather than assert the opposite proposition.|贵的东西未必适合你。|Expensive things are not necessarily suitable for you.|他说得快，不见得说得清楚。|Speaking quickly does not necessarily mean he speaks clearly.
6|固然…但…|admittedly one thing is true, but|A formal concession acknowledges a point before limiting its relevance.|速度固然重要，但质量更重要。|Speed is admittedly important, but quality matters more.|这种办法固然方便，但成本较高。|This method is convenient, admittedly, but relatively costly.
6|无非是…|it is nothing more than|Restrict an explanation; often downplays complexity or significance.|他的目的无非是把事情做好。|His aim is nothing more than to do the job well.|差别无非是时间长短。|The difference is merely the length of time.
6|未尝不…|it is not necessarily unwise or impossible to; indeed may|A cautious double negative opens a possibility; avoid translating as never.|这未尝不是一个机会。|This may well be an opportunity.|换个角度看，未尝不可。|It may be worth looking at it from another angle.
6|之所以…是因为…|the reason something is so is that|Foreground an outcome and then explain its cause.|他之所以改变计划，是因为条件变了。|He changed the plan because the conditions changed.|这里之所以受欢迎，是因为交通方便。|This place is popular because transportation is convenient.
6|既…也…更…|both one point and another, and even more importantly a third|Build a parallel hierarchy with compatible predicates.|学习既需要耐心，也需要方法，更需要坚持。|Learning requires patience and method, and above all persistence.|这个项目既有机会，也有风险，更有责任。|This project involves opportunity and risk, and above all responsibility.
6|不是…就是…|either one case or the other|Usually presents a limited set of likely alternatives; distinguish corrective contrast.|他周末不是看书，就是去散步。|On weekends he either reads or goes for a walk.|钥匙不是在桌上，就是在包里。|The keys are either on the table or in the bag.
6|动不动就…|do something all too readily or frequently|Often conveys disapproval; not a neutral frequency expression.|他动不动就改计划。|He changes the plan at the slightest prompting.|这台机器动不动就出问题。|This machine develops problems all the time.
6|一味地…|blindly or indiscriminately persist in something|This adverb normally evaluates excessive one-sided behavior negatively.|不能一味地追求速度。|We must not pursue speed blindly.|她没有一味地责怪别人。|She did not simply keep blaming others.
6|就…而言 / 就…来说|with respect to a specified dimension|Explicitly scope an evaluation so that it does not become an absolute claim.|就成本而言，这个方案更好。|In terms of cost, this proposal is better.|就目前情况来说，还不能下结论。|Given the current situation, we cannot yet draw a conclusion.
6|从…来看|judging from an evidence source or perspective|The conclusion is bounded by the evidence named.|从数据来看，需求正在增加。|Judging from the data, demand is increasing.|从他的反应来看，他并不知情。|Judging from his reaction, he was unaware of it.
6|以至于…|to the extent that a consequence follows|Introduce an actual degree-related result; it often exceeds expectations.|他投入得太深，以至于忘了时间。|He became so absorbed that he forgot the time.|道路堵塞，以至于救援延迟了。|The roads were blocked to such an extent that assistance was delayed.
6|以便…|so that a desired next action is possible|Express facilitative purpose rather than actual consequence.|请留下联系方式，以便我们通知您。|Please leave contact details so that we can notify you.|先整理材料，以便讨论。|Organize the materials first to facilitate discussion.
6|非但…反而…|not only did an expected thing fail, the opposite happened|Use in a reversal; negative wording must match the intended polarity.|问题非但没有减少，反而增加了。|The problems did not decrease; instead, they increased.|他非但不反对，反而支持。|He not only does not oppose it; he supports it.
6|一来…二来…|for one reason, and for another|Enumerate two grounds for the same decision.|我不去，一来太远，二来没时间。|I am not going: first it is too far, and second I have no time.|选择这里，一来交通方便，二来环境安静。|We chose this place because transport is convenient and the environment is quiet.
6|要不是…就…|if it had not been for something, a different outcome would follow|A counterfactual relies on an actual intervening condition.|要不是你提醒，我就忘了。|If you had not reminded me, I would have forgotten.|要不是下雨，我们就出发了。|If it had not rained, we would have set out.
6|被认为 / 被视为…|be considered / be regarded as|Attribute a classification rather than asserting objective truth; identify the judging group when relevant.|这个发现被认为很重要。|This discovery is considered important.|这次合作被视为新的起点。|This cooperation is regarded as a new starting point.
6|据… / 据说…|according to a source / it is said that|Distinguish attributable evidence from hearsay; never invent a source.|据报告，参与人数增加了。|According to the report, participation increased.|据说那家书店下周开门。|It is said that that bookshop will open next week.
7-9|鉴于…|in view of an established consideration|Formal rationale should name a verifiable circumstance; do not use as proof by itself.|鉴于时间有限，我们只讨论两个问题。|In view of the limited time, we will discuss only two issues.|鉴于需求变化，方案需要调整。|In view of changing demand, the proposal needs adjustment.
